"COU","Country","CORP_TAX","Corporate income tax rate","YEA","Year","Value","Flag Codes","Flags"
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",35.42979,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",35.42979,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",34.95,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",34.42989,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",34.42989,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",34.42989,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",34.42989,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",34.42989,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",36.09639,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",36.09639,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",37.9962,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",37.9962,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",37.9962,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",34.43,,
"FRA","France","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",34.43,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",37.76289,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",36.42969,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",35.42979,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",35.42979,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",35.42979,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",34.95,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",34.43,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",34.42989,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",34.42989,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",34.42989,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",34.42989,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",36.09639,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",36.09639,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",37.9962,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",37.9962,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",37.9962,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",34.43,,
"FRA","France","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",34.43,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2000","2000",42.2,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2001","2001",26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2002","2002",26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2003","2003",27.96,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2004","2004",26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2005","2005",26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2006","2006",26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2007","2007",26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2008","2008",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2009","2009",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2010","2010",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2011","2011",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2012","2012",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2013","2013",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2014","2014",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2015","2015",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2016","2016",15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","2017","2017",15.825,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2000","2000",40,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2001","2001",25,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2002","2002",25,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2003","2003",26.5,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2004","2004",33,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2005","2005",25,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2006","2006",25,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2007","2007",25,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2008","2008",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2009","2009",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2010","2010",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2011","2011",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2012","2012",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2013","2013",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2014","2014",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2015","2015",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2016","2016",15,,
"DEU","Germany","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2017","2017",15,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",35.020747,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",21.89125,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",21.887967,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",23.20332,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",21.887967,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",21.887967,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",21.887967,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",21.887967,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",15.825,,
"DEU","Germany","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",15.825,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2000","2000",17.012448,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2001","2001",17.01,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2002","2002",17.012448,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2003","2003",17.012448,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2004","2004",17.012448,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2005","2005",17.012448,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2006","2006",17.012448,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2007","2007",17.012448,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2008","2008",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2009","2009",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2010","2010",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2011","2011",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2012","2012",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2013","2013",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2014","2014",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2015","2015",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2016","2016",14.35,,
"DEU","Germany","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2017","2017",14.35,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",52.033195,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",38.90125,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",38.900415,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",40.215768,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",38.900415,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",38.900415,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",38.900415,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",38.900415,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",30.175,,
"DEU","Germany","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",30.175,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2000","2000",40,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2001","2001",37.5,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2002","2002",35,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2003","2003",35,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2004","2004",35,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2005","2005",32,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2006","2006",29,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2007","2007",25,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2008","2008",25,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2009","2009",25,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2010","2010",24,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2011","2011",20,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2012","2012",20,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2013","2013",26,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2014","2014",26,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2015","2015",26,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2016","2016",29,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","2017","2017",29,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",40,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",37.5,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",35,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",35,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",35,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",32,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",29,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",25,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",25,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",25,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",24,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",20,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",20,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",26,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",26,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",26,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",29,,
"GRC","Greece","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",29,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",40,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",37.5,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",35,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",35,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",35,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",32,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",29,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",25,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",25,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",25,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",24,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",20,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",20,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",26,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",26,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",26,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",29,,
"GRC","Greece","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",29,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2000","2000",18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2001","2001",18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2002","2002",18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2003","2003",18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2004","2004",16,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2005","2005",16,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2006","2006",17.33,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2007","2007",20,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2008","2008",20,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2009","2009",20,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2010","2010",19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2011","2011",19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2012","2012",19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2013","2013",19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2014","2014",19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2015","2015",19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2016","2016",19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","2017","2017",9,,
"HUN","Hungary","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2006","2006",16,,
"HUN","Hungary","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2007","2007",16,,
"HUN","Hungary","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2008","2008",16,,
"HUN","Hungary","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2009","2009",16,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",18,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",18,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",18,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",18,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",16,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",16,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",17.33,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",20,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",20,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",20,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",19,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",19,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",19,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",19,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",19,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",19,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",19,,
"HUN","Hungary","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",9,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",18,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",18,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",18,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",18,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",16,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",16,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",17.33,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",20,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",20,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",20,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",19,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",19,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",19,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",19,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",19,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",19,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",19,,
"HUN","Hungary","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",9,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2000","2000",30,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2001","2001",30,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2002","2002",18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2003","2003",18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2004","2004",18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2005","2005",18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2006","2006",18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2007","2007",18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2008","2008",15,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2009","2009",15,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2010","2010",18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2011","2011",20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2012","2012",20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2013","2013",20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2014","2014",20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2015","2015",20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2016","2016",20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","2017","2017",20,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",30,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",30,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",18,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",18,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",18,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",18,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",18,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",18,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",15,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",15,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",18,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",20,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",20,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",20,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",20,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",20,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",20,,
"ISL","Iceland","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",20,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",30,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",30,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",18,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",18,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",18,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",18,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",18,,
"ISL","Iceland","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",18,,
